Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Mother's occupation,Father's occupation
1,1,1,Advertising and Marketing Management,daytime,Secondary education,139.0,Portuguese,38,19,130.6,yes,no,no,yes,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen"
1,1,1,Nursing,daytime,Secondary education,136.0,Portuguese,19,38,119.3,yes,no,no,yes,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Unskilled Workers,Unskilled Workers
1,1,2,Basic Education,daytime,Secondary education,133.0,Portuguese,19,37,130.2,yes,no,no,yes,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Administrative staff,Unskilled Workers
1,53,1,Tourism,daytime,Professional higher technical course,110.0,Portuguese,1,1,111.8,yes,no,no,yes,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,1,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,38,37,137.1,yes,no,no,yes,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers"
1,1,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,19,37,120.7,yes,no,no,yes,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,Unskilled Workers,Intermediate Level Technicians and Professions
1,18,1,Social Service,daytime,Secondary education,137.0,Portuguese,19,38,137.4,yes,no,no,yes,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers
1,17,2,Nursing,daytime,Secondary education,135.0,Portuguese,19,1,127.3,yes,no,no,yes,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,"Personal Services, Security and Safety Workers and Sellers",Administrative staff
1,1,1,Equinculture,daytime,Secondary education,137.0,Portuguese,3,19,136.3,yes,no,no,yes,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers"
1,1,1,Basic Education,daytime,Secondary education,140.0,Portuguese,19,19,124.6,yes,no,no,yes,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen"
1,1,3,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,1,1,120.3,no,no,no,yes,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Unskilled Workers,Installation and Machine Operators and Assembly Workers
1,18,4,Oral Hygiene,daytime,Secondary education,127.0,Portuguese,1,38,121.8,yes,no,no,yes,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,4,Nursing,daytime,Secondary education,142.0,Portuguese,19,19,125.5,yes,no,no,yes,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"
1,1,4,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,1,38,114.9,yes,no,no,yes,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,1,Nursing,daytime,Secondary education,126.0,Portuguese,19,19,123.9,no,no,no,yes,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,1,Social Service,daytime,Secondary education,151.0,Portuguese,19,38,157.0,yes,no,yes,yes,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,Unskilled Workers,Unskilled Workers
1,17,2,Social Service,daytime,Secondary education,115.0,Portuguese,19,38,116.4,yes,no,no,yes,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers
1,1,1,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,19,19,131.0,yes,no,no,yes,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions
1,1,1,Management,daytime,Secondary education,135.0,Portuguese,19,1,122.1,yes,no,no,yes,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,Unskilled Workers,Unskilled Workers
1,17,2,Nursing,daytime,Secondary education,127.0,Portuguese,3,3,118.8,yes,no,no,yes,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions
1,44,1,Agronomy,daytime,Technological specialization course,150.0,Portuguese,4,5,150.0,no,no,no,yes,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,Administrative staff,Specialists in Intellectual and Scientific Activities
1,51,1,Communication Design,daytime,Secondary education,125.0,Portuguese,42,3,130.0,yes,no,no,yes,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations"
1,1,1,Management,daytime,Secondary education,143.0,Portuguese,1,1,138.8,no,no,no,no,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,18,1,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,19,1,134.5,yes,no,no,yes,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers"
1,1,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,2,37,131.4,no,no,no,yes,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,Intermediate Level Technicians and Professions,Unskilled Workers
1,39,1,Biofuel Production Technologies,daytime,Secondary education,130.0,Portuguese,38,37,102.5,no,no,yes,no,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,39,1,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,34,37,128.8,yes,no,no,yes,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,Student,Student
1,43,1,Management,daytime,Secondary education,140.0,Portuguese,37,37,122.9,no,no,no,yes,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
4,39,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,19,19,113.9,yes,no,no,yes,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Unskilled Workers,Intermediate Level Technicians and Professions
1,44,1,Equinculture,daytime,Technological specialization course,120.0,Spanish,4,4,120.0,no,no,yes,no,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,1,5,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,3,3,121.1,no,no,yes,yes,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
1,1,2,Management,daytime,Secondary education,133.0,Portuguese,3,19,120.4,yes,no,no,yes,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,6,Nursing,daytime,Secondary education,103.0,Portuguese,1,3,100.6,yes,yes,no,yes,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
1,17,1,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,1,38,121.4,no,no,no,no,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers"
1,39,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,37,37,109.7,no,no,no,yes,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Unskilled Workers,Unskilled Workers
1,17,1,Management (evening attendance),evening,Secondary education,154.0,Portuguese,38,38,134.1,no,no,no,yes,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,Administrative staff,"Personal Services, Security and Safety Workers and Sellers"
1,17,2,Social Service,daytime,Secondary education,130.0,Portuguese,19,19,127.6,yes,no,no,yes,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,Unskilled Workers,Unskilled Workers
1,17,6,Nursing,daytime,Secondary education,132.0,Portuguese,37,19,132.4,yes,no,no,yes,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen"
1,44,1,Social Service (evening attendance),evening,Technological specialization course,130.0,Portuguese,1,19,133.4,no,no,no,yes,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Unskilled Workers,Unskilled Workers
1,1,1,Social Service,daytime,Secondary education,139.0,Portuguese,37,38,126.1,no,no,no,yes,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,Unskilled Workers,Unskilled Workers
1,39,1,Tourism,daytime,Secondary education,130.0,Portuguese,19,38,113.5,no,no,no,yes,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,1,Nursing,daytime,Secondary education,139.0,Portuguese,37,38,121.3,yes,no,no,yes,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,1,1,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,1,19,121.8,yes,no,no,yes,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen"
1,1,3,Equinculture,daytime,Secondary education,167.0,Portuguese,37,37,159.3,no,no,no,yes,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,Other Situation,Other Situation
1,39,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,38,38,120.0,no,no,no,yes,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,Unskilled Workers,Unskilled Workers
1,1,1,Nursing,daytime,Secondary education,130.0,Portuguese,1,19,129.1,yes,no,no,yes,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers"
2,7,1,Tourism,daytime,Higher education - degree,130.0,Portuguese,1,3,130.0,no,no,no,yes,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,Administrative staff,Intermediate Level Technicians and Professions
1,39,1,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,3,3,155.3,yes,no,no,yes,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
1,17,1,Nursing,daytime,Secondary education,141.0,Portuguese,38,38,139.8,yes,no,no,yes,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions
1,1,3,Animation and Multimedia Design,daytime,Secondary education,125.0,Portuguese,38,37,115.2,yes,no,no,yes,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,Administrative staff,Unskilled Workers
1,1,2,Nursing,daytime,Secondary education,125.0,Portuguese,19,19,114.9,no,no,no,yes,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,Unskilled Workers,Unskilled Workers
1,44,1,Social Service,daytime,Technological specialization course,130.0,Portuguese,19,1,131.9,no,no,no,yes,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,Unskilled Workers,Unskilled Workers
1,17,3,Animation and Multimedia Design,daytime,Secondary education,133.0,Portuguese,1,37,126.0,yes,no,no,yes,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen"
1,17,1,Communication Design,daytime,Secondary education,127.0,Portuguese,1,1,130.2,yes,no,no,yes,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,Intermediate Level Technicians and Professions,Administrative staff
1,43,1,Communication Design,daytime,Secondary education,116.0,Portuguese,1,1,120.9,no,no,no,yes,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions
4,42,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,1,1,126.0,yes,no,no,yes,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers"
1,1,3,Animation and Multimedia Design,daytime,Secondary education,139.0,Portuguese,19,19,128.2,yes,no,no,yes,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions
1,44,1,Agronomy,daytime,Technological specialization course,130.0,Portuguese,19,37,130.0,yes,no,no,yes,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Unskilled Workers,Unskilled Workers
1,1,3,Management,daytime,Secondary education,125.0,Portuguese,1,38,120.1,no,no,yes,yes,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen"
1,39,1,Tourism,daytime,Secondary education,160.0,Portuguese,19,37,100.0,no,no,no,yes,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions
1,17,1,Management,daytime,Secondary education,148.0,Portuguese,38,37,134.0,no,no,no,yes,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers"
1,17,1,Nursing,daytime,Secondary education,150.0,Portuguese,37,19,130.8,no,no,no,yes,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,Installation and Machine Operators and Assembly Workers,Administrative staff
1,1,1,Animation and Multimedia Design,daytime,Secondary education,141.0,Portuguese,19,19,135.8,yes,no,no,yes,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions
1,17,4,Tourism,daytime,Secondary education,118.0,Portuguese,38,37,111.7,yes,no,no,yes,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen"
1,1,2,Journalism and Communication,daytime,Secondary education,142.0,Portuguese,38,38,132.9,yes,no,no,yes,1,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,Unskilled Workers,Unskilled Workers
1,17,3,Management,daytime,Secondary education,120.0,Portuguese,19,19,115.5,yes,no,yes,yes,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen"
1,18,4,Tourism,daytime,Secondary education,106.0,Portuguese,19,37,106.0,yes,no,no,yes,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen"
1,17,4,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,1,19,120.3,yes,no,yes,yes,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Unskilled Workers,Installation and Machine Operators and Assembly Workers
1,17,4,Nursing,daytime,Secondary education,150.0,Portuguese,38,37,130.8,no,no,no,yes,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,Unskilled Workers,Unskilled Workers
2,39,1,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,37,37,117.0,no,no,no,yes,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,1,6,Basic Education,daytime,Secondary education,114.0,Portuguese,19,19,110.2,yes,no,no,yes,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,Unskilled Workers,Unskilled Workers
1,39,1,Management (evening attendance),evening,Higher education - bachelor's degree,140.0,Portuguese,3,3,155.7,yes,no,no,yes,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
1,39,1,Agronomy,daytime,Higher education - master's,160.0,Portuguese,3,3,180.4,no,no,yes,yes,1,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,Administrative staff,Specialists in Intellectual and Scientific Activities
1,17,1,Tourism,daytime,Secondary education,120.0,Portuguese,19,19,125.5,no,no,no,yes,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,Administrative staff,Administrative staff
2,39,1,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,37,37,110.0,yes,no,no,yes,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,42,1,Nursing,daytime,Secondary education,160.0,Portuguese,37,38,161.0,yes,no,no,yes,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen"
1,39,1,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,1,19,100.0,no,no,no,yes,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,Administrative staff,"Personal Services, Security and Safety Workers and Sellers"
1,17,1,Communication Design,daytime,Secondary education,124.0,Portuguese,19,38,117.6,yes,no,no,yes,1,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,Administrative staff,Student
1,1,6,Management,daytime,Secondary education,143.0,Portuguese,38,37,128.7,yes,no,no,yes,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,Unskilled Workers,Unskilled Workers
1,43,2,Informatics Engineering,daytime,Secondary education,115.0,Portuguese,38,19,112.2,yes,no,yes,yes,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry"
1,39,1,Nursing,daytime,Secondary education,133.1,Portuguese,1,1,100.8,no,no,no,yes,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Administrative staff,Armed Forces Professions
1,17,2,Journalism and Communication,daytime,Secondary education,133.1,Brazilian,19,1,105.0,yes,no,no,no,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,Unskilled Workers,Unskilled Workers
1,15,1,Equinculture,daytime,Secondary education,133.1,Brazilian,1,1,100.0,no,no,no,yes,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,Administrative staff,Administrative staff
2,39,1,Basic Education,daytime,11th year of schooling - not completed,133.1,Portuguese,37,34,115.5,no,no,no,yes,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,Student,Student
2,39,1,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,37,19,114.0,no,no,no,yes,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,Unskilled Workers,Unskilled Workers
